"","fsl","wash","capacity_gaps","protection","shelter","health","impact","education","calculated_msni"
"372",4,1,4,2,2,1,1,1,4
"373",1,2,4,2,2,1,1,1,4
"374",2,2,4,2,2,1,1,1,4
"375",3,2,4,2,2,1,1,1,4
"376",4,2,4,2,2,1,1,1,4
"377",1,3,4,2,2,1,1,1,4
"378",2,3,4,2,2,1,1,1,4
"379",3,3,4,2,2,1,1,1,4
"380",4,3,4,2,2,1,1,1,4
"381",1,4,4,2,2,1,1,1,4
"382",2,4,4,2,2,1,1,1,4
"383",3,4,4,2,2,1,1,1,4
"384",4,4,4,2,2,1,1,1,4
"385",1,1,1,3,2,1,1,1,3
"386",2,1,1,3,2,1,1,1,3
"387",3,1,1,3,2,1,1,1,3
"388",4,1,1,3,2,1,1,1,4
"389",1,2,1,3,2,1,1,1,3
"390",2,2,1,3,2,1,1,1,3
"391",3,2,1,3,2,1,1,1,3
"392",4,2,1,3,2,1,1,1,4
"393",1,3,1,3,2,1,1,1,3
"394",2,3,1,3,2,1,1,1,3
"395",3,3,1,3,2,1,1,1,3
"396",4,3,1,3,2,1,1,1,4
"397",1,4,1,3,2,1,1,1,4
"398",2,4,1,3,2,1,1,1,4
"399",3,4,1,3,2,1,1,1,4
"400",4,4,1,3,2,1,1,1,4
"401",1,1,2,3,2,1,1,1,3
"402",2,1,2,3,2,1,1,1,3
"403",3,1,2,3,2,1,1,1,3
"404",4,1,2,3,2,1,1,1,4
"405",1,2,2,3,2,1,1,1,3
"406",2,2,2,3,2,1,1,1,3
"407",3,2,2,3,2,1,1,1,3
"408",4,2,2,3,2,1,1,1,4
"409",1,3,2,3,2,1,1,1,3
"410",2,3,2,3,2,1,1,1,3
"411",3,3,2,3,2,1,1,1,3
"412",4,3,2,3,2,1,1,1,4
"413",1,4,2,3,2,1,1,1,4
"414",2,4,2,3,2,1,1,1,4
"415",3,4,2,3,2,1,1,1,4
"416",4,4,2,3,2,1,1,1,4
"417",1,1,3,3,2,1,1,1,3
"418",2,1,3,3,2,1,1,1,3
"419",3,1,3,3,2,1,1,1,3
"420",4,1,3,3,2,1,1,1,4
"421",1,2,3,3,2,1,1,1,3
"422",2,2,3,3,2,1,1,1,3
"423",3,2,3,3,2,1,1,1,3
"424",4,2,3,3,2,1,1,1,4
"425",1,3,3,3,2,1,1,1,3
"426",2,3,3,3,2,1,1,1,3
"427",3,3,3,3,2,1,1,1,3
"428",4,3,3,3,2,1,1,1,4
"429",1,4,3,3,2,1,1,1,4
"430",2,4,3,3,2,1,1,1,4
"431",3,4,3,3,2,1,1,1,4
"432",4,4,3,3,2,1,1,1,4
"433",1,1,4,3,2,1,1,1,4
"434",2,1,4,3,2,1,1,1,4
"435",3,1,4,3,2,1,1,1,4
"436",4,1,4,3,2,1,1,1,4
"437",1,2,4,3,2,1,1,1,4
"438",2,2,4,3,2,1,1,1,4
"439",3,2,4,3,2,1,1,1,4
"440",4,2,4,3,2,1,1,1,4
"441",1,3,4,3,2,1,1,1,4
"442",2,3,4,3,2,1,1,1,4
"443",3,3,4,3,2,1,1,1,4
"444",4,3,4,3,2,1,1,1,4
"445",1,4,4,3,2,1,1,1,4
"446",2,4,4,3,2,1,1,1,4
"447",3,4,4,3,2,1,1,1,4
"448",4,4,4,3,2,1,1,1,4
"449",1,1,1,4,2,1,1,1,4
"450",2,1,1,4,2,1,1,1,4
"451",3,1,1,4,2,1,1,1,4
"452",4,1,1,4,2,1,1,1,4
"453",1,2,1,4,2,1,1,1,4
"454",2,2,1,4,2,1,1,1,4
"455",3,2,1,4,2,1,1,1,4
"456",4,2,1,4,2,1,1,1,4
"457",1,3,1,4,2,1,1,1,4
"458",2,3,1,4,2,1,1,1,4
"459",3,3,1,4,2,1,1,1,4
"460",4,3,1,4,2,1,1,1,4
"461",1,4,1,4,2,1,1,1,4
"462",2,4,1,4,2,1,1,1,4
"463",3,4,1,4,2,1,1,1,4
